변환,채권거래(백만원),기준금리(연%),소비자물가총지수(2020=100),생산자물가지수(상품)(2015=100),생산자물가지수(서비스)(2015=100),주택전세가격지수(2015.01=100),현재생활형편CSI,현재경기판단CSI,경제심리지수
2016/01,176108246,1.5,95.232,95.99,100.64,84.343,90,68,93.5
2016/02,180791618,1.5,95.64,95.96,100.7,84.5,90,65,92.3
2016/03,236123816,1.5,95.393,95.9,100.62,84.625,91,69,93.9
2016/04,182439468,1.5,95.573,96.22,100.77,84.718,91,74,96.6
2016/05,201851261,1.5,95.63,96.36,100.84,84.814,91,70,94.9
2016/06,272150094,1.25,95.611,96.67,100.9,84.895,91,68,94.6
2016/07,518620304,1.25,95.431,96.46,101,84.981,91,71,95.8
2016/08,517594988,1.25,95.677,96.48,101.22,85.061,91,74,97.7
2016/09,304291911,1.25,96.247,96.78,101.3,85.145,91,72,97.3
2016/10,331040476,1.25,96.379,97.15,101.41,85.296,92,72,96
2016/11,197211024,1.25,96.237,97.84,101.4,85.456,90,60,95.5
2016/12,111169972,1.25,96.342,99.15,101.41,85.514,89,55,94
2017/01,160748141,1.25,97.366,101.16,101.76,85.544,87,51,95.9
2017/02,233153643,1.25,97.632,101.69,101.83,85.564,88,55,97.7
2017/03,281213179,1.25,97.565,101.5,102.11,85.583,89,59,100
2017/04,224294469,1.25,97.442,101.11,102.24,85.6,90,69,99.6
2017/05,200781717,1.25,97.546,100.57,102.51,85.623,92,82,100.7
2017/06,239307116,1.25,97.338,99.95,102.55,85.68,94,93,99.9
2017/07,272268851,1.25,97.499,99.98,102.74,85.745,95,96,99.1
2017/08,235994933,1.25,98.058,100.71,102.65,85.796,94,93,100.2
2017/09,198008882,1.25,98.172,101.69,102.74,85.832,94,87,98.9
2017/10,106404567,1.25,98.077,101.85,102.74,85.878,94,91,102
2017/11,140384580,1.5,97.347,101.72,102.7,85.896,96,98,102
2017/12,100694371,1.5,97.698,101.76,102.79,85.906,94,95,101.7
2018/01,132568936,1.5,98.106,102.13,103.3,85.92,94,90,99.4
2018/02,177716712,1.5,98.855,102.69,103.54,85.93,94,89,101
2018/03,301530696,1.5,98.751,102.57,103.61,85.922,95,87,97.9
2018/04,202683282,1.5,98.931,102.7,103.77,85.904,95,86,99.6
2018/05,202897860,1.5,98.979,103.1,103.89,85.857,95,89,101.7
2018/06,215749069,1.5,98.779,103.2,103.81,85.808,94,84,100.2
2018/07,217915062,1.5,98.59,103.81,104.1,85.773,91,77,95.5
2018/08,246381128,1.5,99.462,104.45,104.29,85.762,89,70,96.6
2018/09,190842409,1.5,100.221,104.96,104.28,85.903,90,64,99.1
2018/10,192846395,1.5,100.041,104.39,104.25,85.989,91,67,95.1
2018/11,195564866,1.75,99.33,103.28,104.13,86.019,90,62,94.2
2018/12,112181736,1.75,98.988,102.43,104.16,86.01,89,62,94.4
2019/01,137955816,1.75,98.884,102.05,104.46,85.98,90,65,92
2019/02,102098718,1.75,99.311,102.02,104.78,85.844,93,70,97.2
2019/03,174457150,1.75,99.121,102.54,104.88,85.702,91,70,96.4
2019/04,240273689,1.75,99.481,102.88,105.14,85.564,93,74,97.4
2019/05,163502027,1.75,99.652,103.01,105.21,85.487,91,69,94
2019/06,210727550,1.75,99.491,102.5,105.26,85.401,91,69,94.7
2019/07,205437673,1.5,99.187,102.38,105.47,85.346,91,67,91.9
2019/08,265831017,1.5,99.425,102.71,105.55,85.342,90,63,91.2
2019/09,184413363,1.5,99.794,102.94,105.34,85.331,92,68,93.8
2019/10,214518780,1.25,100.041,102.47,105.44,85.378,92,72,93.2
2019/11,200948217,1.25,99.481,102.24,105.43,85.442,92,73,94
2019/12,119997827,1.25,99.719,102.69,105.47,85.576,92,74,94.8
2020/01,154645664,1.25,100.09,102.84,106.2,85.717,93,78,97.3
2020/02,198467079,1.25,100.16,102.26,106.25,85.869,91,66,89.8
2020/03,139360937,0.75,99.94,100.98,105.89,86.019,83,38,69.2
2020/04,178225036,0.75,99.5,99.44,105.99,86.086,77,31,62.2
2020/05,163421076,0.5,99.44,99.43,106.07,86.14,79,36,64.1
2020/06,207481183,0.5,99.71,100.06,106.44,86.374,84,44,68.7
2020/07,221219907,0.5,99.63,100.17,106.85,86.752,85,49,77.3
2020/08,164632152,0.5,100.19,100.81,107.18,87.207,85,54,83.3
2020/09,214070643,0.5,100.74,101.23,107.01,87.962,81,42,77.5
2020/10,162542216,0.5,100.18,100.52,107.05,88.689,86,58,88.6
2020/11,192497866,0.5,100.09,100.65,107.06,90.181,89,72,91.5
2020/12,129146935,0.5,100.33,101.86,107.28,91.176,86,56,85.6
2021/01,130098902,0.5,101.04,103.32,107.97,91.934,86,56,92.7
2021/02,151886727,0.5,101.58,104.64,108.14,92.627,87,63,96.3
2021/03,164264150,0.5,101.84,106.44,108.26,93.273,89,72,101.1
2021/04,157146379,0.5,101.98,107.88,108.65,93.835,92,77,105.2
2021/05,126684064,0.5,102.05,108.84,108.73,94.372,93,85,105.3
2021/06,134571971,0.5,102.05,109.65,108.91,95.202,93,94,109.2
2021/07,126923656,0.5,102.26,111.15,109.34,96.053,91,82,103.8
2021/08,116310998,0.75,102.75,111.91,109.63,97.04,91,77,105.2
2021/09,101799551,0.75,103.17,112.62,109.62,97.976,91,78,104.4
2021/10,88933009,0.75,103.35,114.5,109.7,98.579,92,80,105.5
2021/11,100265609,1,103.87,115.72,109.88,99.301,92,81,106.2
2021/12,61663240,1,104.04,115.5,110.16,99.728,91,79,104.5
