forecast(Basic Transformer),forecast(VAR),Real value
356703.06,394608.6096577826,396797.5831683044
356215.06,396221.8392966443,395260.4325675316
356212.66,396760.47018268146,395643.44792598725
355822.78,396890.93152142654,390171.091227507
358133.66,396878.7271428153,389281.34709721897
358445.38,396820.55243666534,396717.93479903665
358835.06,396983.56030423014,401924.20410948776
357346.5,397098.5327844541,401532.70669313177
356497.7,397209.07099837053,395636.662313562
357135.12,397343.62944576965,393087.7506145995
357001.38,397442.9131790685,397094.16454506706
356989.56,397570.4228018151,404251.0934645301
358703.44,397693.38523503544,401553.0635304075
357934.66,397813.5012891866,401037.85270067485
358710.4,397936.82746979594,398661.80896509835
356755.03,398058.1391900463,391233.7031517059
357025.2,398179.91119423474,386637.56071058084
357158.8,398301.16569360107,374721.75853806455
358049.53,398423.21938059444,385010.58357611496
356420.28,398545.42926872,392730.1814298449
