forecast(Basic Transformer),forecast(VAR),Real value
27.668497,27.039771426948334,23.0
27.385685,27.619538301649495,23.0
27.213337,27.37005865911246,17.0
27.045567,27.45808085035435,23.0
26.82883,27.41758855377912,26.0
26.7966,27.446557650383166,22.0
26.52256,27.434622415283926,17.0
26.403893,27.43381826375337,23.0
26.427904,27.42972189210788,16.0
26.492512,27.430695838858302,16.0
26.228895,27.42998524565168,12.0
26.022015,27.42894618171087,13.0
26.293821,27.427445946235252,17.0
26.08342,27.426319981275483,21.0
25.953766,27.425289984960415,19.0
25.85353,27.424253095152903,14.0
25.701725,27.423143105685682,24.0
25.521942,27.422028268718186,23.0
25.514608,27.420927820519566,24.0
25.500097,27.419837398691584,22.0
25.399979,27.418743981572725,27.0
25.376656,27.41764706254536,23.0
25.350298,27.416549614761742,26.0
25.344471,27.415453280861435,24.0
